Date,XLP/XLU,XLP/XLV,XLB/XLV
2019-06-20,0.0,0.0,0.0
2019-06-21,-0.0,-0.0,-0.0
2019-06-24,0.0,0.0,0.0
2019-06-25,0.0,0.0,0.0
2019-06-26,0.0,-0.0,0.0
2019-06-27,0.0,-0.0,0.0
2019-06-28,-0.0,-0.0,0.0
2019-07-01,0.0,0.0,0.0
2019-07-02,-0.0,0.0,-0.0
2019-07-03,0.0,-10.0,0.0
2019-07-05,-0.0,-0.7704896176585763,-0.0
2019-07-08,0.0,-61.66066619666566,-0.0
2019-07-09,-0.0,65.23518715730425,-0.0
2019-07-10,0.0,-41.9983358571141,-0.0
2019-07-11,0.0,-23.798928153651033,0.0
2019-07-12,0.0,-100.41660675232045,0.0
2019-07-15,-0.0,-9.470000547597834,-0.0
2019-07-16,0.0,-35.35019853560861,0.0
2019-07-17,-0.0,13.070477463288377,-0.0
2019-07-18,0.0,-30.35767894681296,0.0
2019-07-19,0.0,-3.7484036160773115,0.0
2019-07-22,-0.0,45.23182409519766,-0.0
2019-07-23,-10.0,-31.989175966393724,0.0
2019-07-24,72.55081489085491,70.35956901852991,-0.0
2019-07-25,-30.46534669935763,-44.882391743952255,-0.0
2019-07-26,-86.60231372819905,-88.50763077330903,-0.0
2019-07-29,16.86778691420532,8.287267068625148,-0.0
2019-07-30,-81.8250232372364,-57.60678560452703,0.0
2019-07-31,172.940603940428,140.95073807025128,-0.0
2019-08-01,104.73419797724759,43.86118583078691,-0.0
2019-08-02,-2.8216887409904245,-16.508123460354795,-0.0
2019-08-05,165.46549079237582,110.46119673665977,-0.0
2019-08-06,-5.340087819281081,-7.070525516676973,-0.0
2019-08-07,-99.16586932463112,-114.00064140498768,0.0
2019-08-08,-58.4901233377888,-43.118586917860746,0.0
2019-08-09,63.30420419379923,63.224669167603054,-0.0
2019-08-12,54.23519679868427,4.7209068723264025,-0.0
2019-08-13,-108.5956903751617,-29.7589293252587,0.0
2019-08-14,102.8092758595811,-22.417456502852318,-0.0
2019-08-15,-61.46894610392195,-126.5977938862184,-0.0
